carrera,escuela,direccion,maps,pagina_web,telefono
Diseño,IP DE CHILE,"Av. República 285, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/2igYWmGEGDr,http://www.ipchile.cl/carreras/diseno,(+56 2) 2722 4800
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,"Diagonal Las Torres 2640, Peñalolén, Región Metropolitana, Chile",https://goo.gl/maps/usvVkFxw3PK2,http://www.uai.cl/carreras/diseno,(+56 2) 2331 1000
Diseño,UNIVERSIDAD CATÓLICA,"El Comendador 1916, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/uHwsaDCvRqP2,http://diseno.uc.cl/,(+56 2) 2354 5534
Diseño,UNIVERSIDAD DE TALCA,"Av. 2 Nte. 685, Talca, VII Región, Chile",https://goo.gl/maps/SqxLijEqhPp,http://admision.utalca.cl/carreras/diseno.html,(+56) 800 710 071
Diseño,UNIVERSIDAD DEL DESARROLLO,"Av. La Plaza 680, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/MUQ1nxaTeSS2,http://diseno.udd.cl/,(+56 2) 2327 9110
Diseño,UNIVERSIDAD DEL DESARROLLO,"Ainavillo 456, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/hxPCtyTNTsD2,http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,(+56 41) 226 8610
Diseño,UNIVERSIDAD DIEGO PORTALES,"Av. República 180, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/BUJfteePb3z,http://diseno.udp.cl/,(+56 2) 2676 2000
Diseño,UNIVERSIDAD FINIS TERRAE,"Av. Pedro de Valdivia 1224, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/sFngkpTFFox,http://fad.uft.cl/escuela-de-diseno,(+56 2) 2420 7390 / (+56 2) 2420 7647
Diseño,UNIVERSIDAD AUSTRAL DE CHILE,"Independencia 641, Valdivia, Región de los Ríos, Chile",https://goo.gl/maps/SRU9kjfWfZv,https://www.uach.cl/,(+56 63) 222 1500
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,"Av. Ricardo Lyon 1177, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/Pb72ga58rs12,http://www.ugm.cl/dcm/carrera/perfil/,(+56 2) 2414 4564
Diseño de Ambiente,IP DUOC UC,"España 8, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/me3nQ1WqGKx,http://www.duoc.cl/carrera/diseno-de-ambientes,(+56 2) 2999 3862
Diseño de Ambiente,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/XNz3pWfZKx12,http://www.duoc.cl/carrera/diseno-de-ambientes,(+56 2) 2999 3862
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","Av. Salvador 1200, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/aq38LfwAj182,http://www.uniacc.cl/diseno-grafico-diurno/,(+56 2) 2640 6151
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/XQEmGpXvKko,http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,(+56 2) 2862 5315
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,"Purísima 225, Recoleta,Región Metropolitana, Chile"https://goo.gl/maps/X9FAMRYd62R2,https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,(+56 2) 2661 8681
Diseño de Moda,IP INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",https://goo.gl/maps/QJRcgWHSLn12,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,(+56) 800 202 520
Diseño de Moda,IP INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/dh3BMpTdV4y,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,(+56) 800 202 520
Diseño de Moda,IP INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",https://goo.gl/maps/VRhMTnC7pdp,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,(+56) 800 202 520
